dataset,model,split,n_features,n_train,R2,CI_low,CI_high,MAE,RMSE,NRMSE,event_P,event_R,event_F1,n_test
cleaned_data,XGB,chronological-70/15/15,64,5473,0.8305206640783285,0.8013322756150699,0.8518831992046958,0.024616772421095893,0.03678114340384045,0.09149538160159315,0.8235294117647058,0.7368421052631579,0.7777777777777778,1173
cleaned_data,SVR,chronological-70/15/15,64,5473,0.5521859181761646,0.511789751594702,0.587910819245513,0.04982200021837225,0.05978823352557102,0.1487269490685846,0.8701298701298701,0.5037593984962406,0.638095238095238,1173
era5_daily,MEAN,chronological-70/15/15,6,72087,-0.17410031014092753,-0.19101745237580678,-0.14885517469066767,1.4228452104041498,1.8135363312535266,0.19204869613070477,0.0,0.0,0.0,15448
era5_daily,RIDGE,chronological-70/15/15,6,72087,-0.1328499698048342,-0.14318278015099475,-0.07476701393248657,1.36607373220773,1.781393477008769,0.18864485296459726,0.0,0.0,0.0,15448
era5_daily,LASSO,chronological-70/15/15,6,72087,-0.1207317889911157,-0.1348127939583579,-0.07703175625316162,1.3699936541438187,1.7718400101838003,0.18763316612069764,0.0,0.0,0.0,15448
era5_daily,RF,chronological-70/15/15,6,72087,0.5124633835962307,0.4887650702611159,0.5494753199039368,0.7748843695916686,1.1686306660776327,0.12375489358045358,0.827972027972028,0.5925925925925926,0.690781796966161,15448
era5_daily,XGB,chronological-70/15/15,6,72087,0.49144023768366274,0.4736170850014003,0.5360162640563497,0.8163771781470416,1.19356110190943,0.1263949607315525,0.7916073968705548,0.5570570570570571,0.6539365452408931,15448
era5_daily,SVR,chronological-70/15/15,6,72087,0.43185035392635307,0.40547406618881415,0.47816297748883924,0.8326456943451629,1.2615516305083752,0.13359497770482118,0.851639344262295,0.52002002002002,0.6457426973275326,15448
processed_seq,MEAN,chronological-70/15/15,29,5627,-1.630933778162813e-05,-0.004020498975280029,-1.6557723649668377e-06,0.07156574774489616,0.09002437247220052,0.2244996819755624,0.0,0.0,0.0,1206
processed_seq,RIDGE,chronological-70/15/15,29,5627,0.06282562182377083,0.018384483685536284,0.1038058274753565,0.067344310456195,0.08714987421121632,0.2173313571352028,0.0,0.0,0.0,1206
processed_seq,LASSO,chronological-70/15/15,29,5627,-1.630933778162813e-05,-0.004020498975280029,-1.6557723649668377e-06,0.07156574774489616,0.09002437247220052,0.2244996819755624,0.0,0.0,0.0,1206
processed_seq,RF,chronological-70/15/15,29,5627,0.040398390380677274,-0.012098858976522242,0.08560548757177079,0.06812529715339966,0.0881864875590094,0.21991642782795362,0.0,0.0,0.0,1206
processed_seq,XGB,chronological-70/15/15,29,5627,-0.028124516010522793,-0.08802254636232952,0.025064553489800277,0.07000898035071716,0.0912807960445326,0.22763290784172716,0.75,0.05454545454545454,0.1016949152542373,1206
processed_seq,SVR,chronological-70/15/15,29,5627,-0.09624200141011752,-0.1638463146862227,-0.048512797654779304,0.07879388921891084,0.09425616812583339,0.23505278834372414,0.0,0.0,0.0,1206
hydrographic,MEAN,chronological-70/15/15,7,3257,-0.1190700512801266,-0.1758060484024056,-0.07810349933015272,0.23644056926540416,0.31876188269914385,0.22136241854107214,0.0,0.0,0.0,698
hydrographic,RIDGE,chronological-70/15/15,7,3257,-0.2701621495515161,-0.36132100861854244,-0.19837141304316003,0.26772314963867555,0.3395997250727926,0.23583314241166156,0.0,0.0,0.0,698
hydrographic,LASSO,chronological-70/15/15,7,3257,-0.1190700512801266,-0.1758060484024056,-0.07810349933015272,0.23644056926540416,0.31876188269914385,0.22136241854107214,0.0,0.0,0.0,698
hydrographic,RF,chronological-70/15/15,7,3257,-0.35358920247074943,-0.4854358126181121,-0.24754069689342387,0.26511432664756446,0.3505751974319365,0.24345499821662256,0.07142857142857142,0.023809523809523808,0.03571428571428571,698
hydrographic,XGB,chronological-70/15/15,7,3257,-0.5920333238047253,-0.7395425984715428,-0.4654480079751561,0.30212424344471245,0.3802014979434049,0.26402881801625344,0.06521739130434782,0.03571428571428571,0.046153846153846156,698
hydrographic,SVR,chronological-70/15/15,7,3257,-0.5874246373603587,-0.7551219867066005,-0.43454199319090947,0.2936458715595535,0.3796507872862878,0.2636463800599221,0.061224489795918366,0.03571428571428571,0.045112781954887216,698
biotoxin,MEAN,chronological-70/15/15,1,3553,-0.002513787679804036,-0.013655099846758317,-9.759962737138143e-06,17.761180990076774,20.71776187160112,0.23577741972915806,0.0,0.0,0.0,762
biotoxin,RIDGE,chronological-70/15/15,1,3553,-0.006040078022588213,-0.020752855599946392,-0.00011432671266111204,17.777895256633503,20.75416671402394,0.2361917231594849,0.0,0.0,0.0,762
biotoxin,LASSO,chronological-70/15/15,1,3553,-0.004593779816795651,-0.018024082578781235,-2.775880800465788e-05,17.76213898872397,20.7392430988432,0.23602188572713326,0.0,0.0,0.0,762
biotoxin,RF,chronological-70/15/15,1,3553,-0.005738249992747191,-0.02019771910174069,-0.00010837095270026001,17.774050103933526,20.75105319036979,0.23615628986422887,0.0,0.0,0.0,762
biotoxin,XGB,chronological-70/15/15,1,3553,-0.0060448095619134445,-0.020761505412492266,-0.00011431918521892023,17.77795475997324,20.754215518759782,0.23619227857926234,0.0,0.0,0.0,762
