dataset,model,seed,R2,CI_low,CI_high,MAE,RMSE,NRMSE,event_P,event_R,event_F1,n_test
processed_seq,TRANSFORMER_chrono_retrain,2,0.03131949215320429,0.006931677933507699,0.05199460421131225,0.07164317646260666,0.08868080674777706,0.2211491440094191,0.0,0.0,0.0,1202
processed_seq,TRANSFORMER_chrono_retrain,3,0.025592497338637776,0.011652163750309391,0.036980879726018885,0.07052777620797943,0.08894256801384338,0.2218019152464922,0.0,0.0,0.0,1202
processed_seq,TRANSFORMER_chrono_retrain,4,0.022986349117683824,0.005010159102127623,0.035957768749175605,0.07047182639530812,0.0890614313899991,0.22209833264338927,0.0,0.0,0.0,1202
hydrographic,LSTM_chrono_retrain,0,0.43239745636384386,0.3416563755533216,0.5143156755930395,0.15050556122054284,0.22734984838612468,0.15788183915703102,0.8461538461538461,0.13095238095238096,0.2268041237113402,694
hydrographic,LSTM_chrono_retrain,1,0.44019933694622637,0.35385477567539386,0.5229123301525795,0.14862303836287272,0.22578194329569473,0.1567930161775658,0.8,0.14285714285714285,0.24242424242424243,694
hydrographic,LSTM_chrono_retrain,2,0.4420989878701782,0.3477813486443198,0.5263767509373735,0.14681887777377273,0.22539852881278888,0.15652675611999228,0.7647058823529411,0.15476190476190477,0.25742574257425743,694
hydrographic,LSTM_chrono_retrain,3,0.43390115067078927,0.3489300405740329,0.5146816786309888,0.15141818577944374,0.2270485007317056,0.15767256995257334,0.8,0.14285714285714285,0.24242424242424243,694
hydrographic,LSTM_chrono_retrain,4,0.4336760348975094,0.34546711294177224,0.5181515678467197,0.14967392346786834,0.22709364047942387,0.15770391699959993,0.8235294117647058,0.16666666666666666,0.27722772277227725,694
hydrographic,TRANSFORMER_chrono_retrain,0,0.18843805037237393,0.10502051063369626,0.25841437199950945,0.21136952250594707,0.271852506011522,0.1887864625080014,0.0,0.0,0.0,694
hydrographic,TRANSFORMER_chrono_retrain,1,0.30687045374146005,0.22720977896537325,0.3869963956724846,0.18303778106867408,0.2512347494044071,0.1744685759752827,0.6,0.14285714285714285,0.23076923076923078,694
hydrographic,TRANSFORMER_chrono_retrain,2,0.3400079562504509,0.2586544970888316,0.41836616202554366,0.17524958390667392,0.2451556193874258,0.1702469579079346,0.0,0.0,0.0,694
hydrographic,TRANSFORMER_chrono_retrain,3,0.4251869002379276,0.3477539468643332,0.5096691895357579,0.15238695364005284,0.22878936392831256,0.15888150272799484,0.6428571428571429,0.10714285714285714,0.1836734693877551,694
hydrographic,TRANSFORMER_chrono_retrain,4,0.35223787659856987,0.2741903396028784,0.42744286323716507,0.18187586375375303,0.24287358163526915,0.16866220946893692,0.6,0.03571428571428571,0.06741573033707865,694
biotoxin,LSTM_chrono_retrain,0,0.008935453079014222,-0.041477560258103854,0.04889419996219293,17.133502198122294,20.618190448221437,0.23464425228429994,0.0,0.0,0.0,757
biotoxin,LSTM_chrono_retrain,1,-0.03402317040602054,-0.08162738586247836,0.0028616372884537524,17.332507065555063,21.060307687094127,0.23967574470347247,0.0,0.0,0.0,757
biotoxin,LSTM_chrono_retrain,2,0.08805291684899297,0.04238687609663282,0.1317703487984318,15.502702937359224,19.778092143404535,0.22508355688408482,0.0,0.0,0.0,757
biotoxin,LSTM_chrono_retrain,3,0.058160593546854766,0.016718476256577415,0.0996917532101819,16.715992530812674,20.099627332890435,0.22874277151349076,0.0,0.0,0.0,757
biotoxin,LSTM_chrono_retrain,4,-0.0569946340044587,-0.09803298351770721,-0.023111066761045723,18.09840154594915,21.292956548829203,0.24232339306736317,0.0,0.0,0.0,757
biotoxin,TRANSFORMER_chrono_retrain,0,-0.0011332012761626764,-0.009934747554657158,-1.1372532757975072e-05,17.773422001948287,20.722660347332802,0.2358331665794105,0.0,0.0,0.0,757
biotoxin,TRANSFORMER_chrono_retrain,1,-0.0016816936647134906,-0.011439362762610965,-6.199241684373691e-06,17.773221037447687,20.728336247940014,0.23589776087333575,0.0,0.0,0.0,757
biotoxin,TRANSFORMER_chrono_retrain,2,-0.001200892266347564,-0.010131278361575524,-1.4500593107302807e-05,17.773394893409396,20.723360910297796,0.23584113930007733,0.0,0.0,0.0,757
biotoxin,TRANSFORMER_chrono_retrain,3,-0.0032733721812785443,-0.015048456252507253,-9.498042038986746e-05,17.773510543742614,20.744798439293202,0.23608510799241153,0.0,0.0,0.0,757
biotoxin,TRANSFORMER_chrono_retrain,4,-0.001408043404435455,-0.010711426169433724,-6.239953332581921e-06,17.773316372124334,20.725504658771378,0.23586553611894134,0.0,0.0,0.0,757
